QuestionID,ParticipantID,Answer,Time,QuestionNo,QuestionID,CorrectAnswer,Hypothesis,ParticipantID,Age,Gender,Profession,Education
H1C4R10ST,1,Nillie,9.405,1,H1C4R10ST,Nillie,1,1,51,Male,Full-Time Employment,Undergraduate
H1C2R20ST,1,Marcia,8.437,2,H1C2R20ST,Maria,1,1,51,Male,Full-Time Employment,Undergraduate
H1C1R10ST,1,Nancy,25.281,3,H1C1R10ST,Nancy,1,1,51,Male,Full-Time Employment,Undergraduate
H1C4R15SB,1,Jake,18.027,4,H1C4R15SB,Angus,1,1,51,Male,Full-Time Employment,Undergraduate
H1C2R5SB,1,Kenan,9.507,5,H1C2R5SB,Kenan,1,1,51,Male,Full-Time Employment,Undergraduate
H1C2R15DB,1,$68,16.353,6,H1C2R15DB,69,1,1,51,Male,Full-Time Employment,Undergraduate
H1C4R5DB,1,$94,12.549,7,H1C4R5DB,93,1,1,51,Male,Full-Time Employment,Undergraduate
H1C1R5DB,1,$46,9.316,8,H1C1R5DB,46,1,1,51,Male,Full-Time Employment,Undergraduate
H1C2R10DT,1,$79,8.778,9,H1C2R10DT,79,1,1,51,Male,Full-Time Employment,Undergraduate
H1C1R15SB,1,Paige,11.226,10,H1C1R15SB,Paige,1,1,51,Male,Full-Time Employment,Undergraduate
H1C1R20DT,1,$108,8.007,11,H1C1R20DT,108,1,1,51,Male,Full-Time Employment,Undergraduate
H1C4R20DT,1,$74,9.015,12,H1C4R20DT,74,1,1,51,Male,Full-Time Employment,Undergraduate
H1C2R5SB,2,Kenan,32.21,1,H1C2R5SB,Kenan,1,2,55,Male,Full-Time Employment,Undergraduate
H1C2R10DT,2,79,7.986,2,H1C2R10DT,79,1,2,55,Male,Full-Time Employment,Undergraduate
H1C1R10ST,2,Nancy,24.254,3,H1C1R10ST,Nancy,1,2,55,Male,Full-Time Employment,Undergraduate
H1C1R5DB,2,46,15.004,4,H1C1R5DB,46,1,2,55,Male,Full-Time Employment,Undergraduate
H1C2R20ST,2,maria,8.321,5,H1C2R20ST,Maria,1,2,55,Male,Full-Time Employment,Undergraduate
H1C4R10ST,2,Nillie,6.081,6,H1C4R10ST,Nillie,1,2,55,Male,Full-Time Employment,Undergraduate
H1C2R15DT,3,69,12.727,1,H1C2R15DT,69,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R5DB,2,95,12.94,7,H1C4R5DB,93,1,2,55,Male,Full-Time Employment,Undergraduate
H1C4R15SB,2,Angus,14.855,8,H1C4R15SB,Angus,1,2,55,Male,Full-Time Employment,Undergraduate
H1C1R15SB,2,Paige,8.599,9,H1C1R15SB,Paige,1,2,55,Male,Full-Time Employment,Undergraduate
H1C4R10SB,3,Nellie,37.732,2,H1C4R10SB,Nillie,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R20DT,2,74,8.448,10,H1C4R20DT,74,1,2,55,Male,Full-Time Employment,Undergraduate
H1C1R20DT,2,108,6.688,11,H1C1R20DT,108,1,2,55,Male,Full-Time Employment,Undergraduate
H1C2R10DB,3,80,19.748,3,H1C2R10DB,$79,1,3,55,Female,Full-Time Employment,Postgraduate
H1C2R15DB,2,70,16.647,12,H1C2R15DB,69,1,2,55,Male,Full-Time Employment,Undergraduate
H1C2R20SB,3,Maria,25.82,4,H1C2R20SB,Maria,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R15ST,3,Angus,11.528,5,H1C4R15ST,Angus,1,3,55,Female,Full-Time Employment,Postgraduate
H1C1R10SB,3,Nancy,11.092,6,H1C1R10SB,Nancy,1,3,55,Female,Full-Time Employment,Postgraduate
H1C2R5ST,3,Kenan,9.561,7,H1C2R5ST,Kenan,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R5DB,4,40,80.322,1,H1C4R5DB,93,1,4,37,Male,Part-Time Employment,Postgraduate
H1C1R20DB,3,108,37.805,8,H1C1R20DB,108,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R5DT,3,93,7.795,9,H1C4R5DT,93,1,3,55,Female,Full-Time Employment,Postgraduate
H1C1R15ST,3,Paige,9.443,10,H1C1R15ST,Paige,1,3,55,Female,Full-Time Employment,Postgraduate
H1C1R5DT,3,46,6.459,11,H1C1R5DT,46,1,3,55,Female,Full-Time Employment,Postgraduate
H1C2R5SB,4,Kenan,40.351,2,H1C2R5SB,Kenan,1,4,37,Male,Part-Time Employment,Postgraduate
H1C4R20DB,3,70,17.781,12,H1C4R20DB,74,1,3,55,Female,Full-Time Employment,Postgraduate
H1C4R20DT,4,74,36.184,3,H1C4R20DT,74,1,4,37,Male,Part-Time Employment,Postgraduate
H1C4R10ST,4,Nillie,17.428,4,H1C4R10ST,Nillie,1,4,37,Male,Part-Time Employment,Postgraduate
H1C1R5DB,4,46,46.613,5,H1C1R5DB,46,1,4,37,Male,Part-Time Employment,Postgraduate
H1C2R10DT,4,79,12.21,6,H1C2R10DT,79,1,4,37,Male,Part-Time Employment,Postgraduate
H1C2R20ST,4,Maria,22.008,7,H1C2R20ST,Maria,1,4,37,Male,Part-Time Employment,Postgraduate
H1C4R15SB,4,Jake,44.683,8,H1C4R15SB,Angus,1,4,37,Male,Part-Time Employment,Postgraduate
H1C1R20DT,4,108,22.37,9,H1C1R20DT,108,1,4,37,Male,Part-Time Employment,Postgraduate
H1C1R10ST,4,Nancy,71.332,10,H1C1R10ST,Nancy,1,4,37,Male,Part-Time Employment,Postgraduate
H1C1R15SB,4,Paige,29.154,11,H1C1R15SB,Paige,1,4,37,Male,Part-Time Employment,Postgraduate
H1C2R15DB,4,75,77.438,12,H1C2R15DB,69,1,4,37,Male,Part-Time Employment,Postgraduate
H1C4R10ST,5,Nillie,18.384,1,H1C4R10ST,Nillie,1,5,59,Female,Full-Time Employment,Undergraduate
H1C2R15DB,5,$70,46.442,2,H1C2R15DB,69,1,5,59,Female,Full-Time Employment,Undergraduate
H1C2R5SB,5,Kenan,15.546,3,H1C2R5SB,Kenan,1,5,59,Female,Full-Time Employment,Undergraduate
H1C1R10ST,5,Nancy,38.56,4,H1C1R10ST,Nancy,1,5,59,Female,Full-Time Employment,Undergraduate
H1C2R5ST,6,Kenan,12.76,1,H1C2R5ST,Kenan,1,6,38,Male,Full-Time Employment,Undergraduate
H1C2R10DT,5,$79,12.965,5,H1C2R10DT,79,1,5,59,Female,Full-Time Employment,Undergraduate
H1C2R20SB,6,Maria,14.795,2,H1C2R20SB,Maria,1,6,38,Male,Full-Time Employment,Undergraduate
H1C4R5DB,5,$90,55.187,6,H1C4R5DB,93,1,5,59,Female,Full-Time Employment,Undergraduate
H1C1R15SB,5,Paige,25.452,7,H1C1R15SB,Paige,1,5,59,Female,Full-Time Employment,Undergraduate
H1C1R20DB,6,108,73.447,3,H1C1R20DB,108,1,6,38,Male,Full-Time Employment,Undergraduate
H1C4R5DT,6,93,7.657,4,H1C4R5DT,93,1,6,38,Male,Full-Time Employment,Undergraduate
H1C1R10SB,6,Nancy,7.546,5,H1C1R10SB,Nancy,1,6,38,Male,Full-Time Employment,Undergraduate
H1C1R5DB,5,$45,19.713,8,H1C1R5DB,46,1,5,59,Female,Full-Time Employment,Undergraduate
H1C1R5DT,6,46,7.68,6,H1C1R5DT,46,1,6,38,Male,Full-Time Employment,Undergraduate
H1C1R20DT,5,$108,15.806,9,H1C1R20DT,108,1,5,59,Female,Full-Time Employment,Undergraduate
H1C4R10SB,6,Nillie,16.617,7,H1C4R10SB,Nillie,1,6,38,Male,Full-Time Employment,Undergraduate
H1C2R10DB,6,79,8.568,8,H1C2R10DB,$79,1,6,38,Male,Full-Time Employment,Undergraduate
H1C2R20ST,5,Maria,18.199,10,H1C2R20ST,Maria,1,5,59,Female,Full-Time Employment,Undergraduate
H1C4R15SB,5,Jake,54.217,11,H1C4R15SB,Angus,1,5,59,Female,Full-Time Employment,Undergraduate
H1C4R20DT,5,$74,13.207,12,H1C4R20DT,74,1,5,59,Female,Full-Time Employment,Undergraduate
H1C4R20DB,6,75,175.024,9,H1C4R20DB,74,1,6,38,Male,Full-Time Employment,Undergraduate
H1C2R15DT,6,69,7.218,10,H1C2R15DT,69,1,6,38,Male,Full-Time Employment,Undergraduate
H1C4R15ST,6,Angus,9.031,11,H1C4R15ST,Angus,1,6,38,Male,Full-Time Employment,Undergraduate
H1C1R15ST,6,Paige,69.102,12,H1C1R15ST,Paige,1,6,38,Male,Full-Time Employment,Undergraduate
H1C1R5DB,7,45,8.362,1,H1C1R5DB,46,1,7,58,Male,Full-Time Employment,Undergraduate
H1C1R15SB,7,Paige,11.063,2,H1C1R15SB,Paige,1,7,58,Male,Full-Time Employment,Undergraduate
H1C4R15SB,7,Angus,15.811,3,H1C4R15SB,Angus,1,7,58,Male,Full-Time Employment,Undergraduate
